text,sentiment
"I love this product! It's absolutely amazing and exceeded all my expectations!",2
"This is the worst experience I've ever had. Completely disappointed.",0
"It's okay, nothing special. Just average quality.",1
"Absolutely fantastic! Will definitely recommend to friends and family!",2
"Terrible service. Would not recommend to anyone.",0
"Pretty decent product. Does what it's supposed to do.",1
"I'm so happy with this purchase! Best decision ever!",2
"Not impressed at all. Very poor quality.",0
"It's fine. Nothing to complain about but nothing to rave about either.",1
"Outstanding quality! Exceeded my expectations in every way!",2
"Very disappointing. Expected much better for the price.",0
"Satisfactory. Gets the job done.",1
"Incredible! This is exactly what I was looking for!",2
"Waste of money. Do not buy this.",0
"Neutral feelings about this. It's just okay.",1
"Best purchase I've made in years! Absolutely love it!",2
"Horrible experience from start to finish.",0
"It works fine. No major issues.",1
"Amazing product! Quality is top-notch!",2
"Really bad. Would return if I could.",0
